input_state1
CA
CA
CA
CA
SN
SN
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
ES
PT
GB
GB
BR
GB
GB
PL
PL
CA
CA
CA
FR
DE
DE
CA
BR
BR
GB
GB
GB
GB
GB
GB
GB
GB
GB
GB
GB
GB
GB
CA
PL
PL
FR
AR
CA
CA
CA
CA
FR
FR
FR
FR
BE
FR
FR
FR
FR
FR
CA
CA
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
DE
PT
RS
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
DE
DE
DE
DE
DE
DE
DE
DE
CA
CA
DE
CL
CL
IT
FR
DE
DE
GB
GB
GB
GB
BE
BE
GB
GB
GB
FR
CM
CA
CA
CA
CI
CI
CI
CA
CA
CA
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
AR
AR
AR
AR
AR
AR
AR
AR
AR
AR
AR
AR
CO
CI
CI
CI
CI
CI
CI
CI
CI
CI
CI
BR
DK
DK
DK
PT
FR
DK
DK
ES
AR
CA
CA
CA
CA
CO
CO
CO
CO
CO
DE
DE
RS
DE
CO
CO
CO
CO
CO
CO
CO
CO
ES
RS
RS
RS
RS
RS
RS
GB
GB
BE
BE
BE
FR
CL
DE
PL
PL
DE
DE
DE
DE
MX
DE
MX
FR
MX
MX
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PT
PL
AR
IT
AR
AR
GB
PL
IT
CI
CI
CI
PT
PT
PT
FR
FR
UY
UY
UY
UY
UY
NL
DK
DK
DK
PT
AR
AR
AR
AR
AR
PY
AR
AR
AR
